h_team_id,a_team_id,day,fix_time,fix_round,temp,rain,distance,dist_time,sunset,attend,hw_odds,d_odds,h_injuries,a_injuries,h_suspensions,a_suspensions,h_penalty_c,a_penalty_c,win_lg,draw_lg,loss_lg,derby,league_pos_h,league_pos_a,tv,tv_all,radius_25k,last_home_game,points_top,points_bottom,season
1,4,6,19.450001,12,9,1,246,174,21.23,1203,2,2,4,4,0,0,0,1,0,1,0,0,4,7,0,1,2,7,16,2,2012
8,1,2,20,13,15,0,1.65,5,21.280001,1489,1,2.0999999,2,3,2,0,1,1,1,0,0,1,8,5,0,0,2,10,12,9,2012
7,9,2,20,13,13,0,134,92,21.360001,950,7.5,3.5,1,2,0,1,0,0,0,0,1,0,1,10,0,0,0,6,22,10,2012
12,10,2,19.450001,13,15,0,207,157,21.280001,653,6.5,3.3333001,3,2,0,1,0,0,0,1,0,0,2,12,0,0,2,10,21,13,2012
11,6,2,19.450001,13,15,0,85,59,21.280001,1090,.22220001,4.5,5,1,0,1,0,0,0,0,1,0,11,3,0,0,2,10,8,0,2012
5,3,2,19.450001,13,12,0,245,175,21.299999,700,1.5,2.2,0,5,0,0,0,0,1,0,0,0,8,6,0,0,0,17,11,-1,2012
4,2,2,19.450001,13,16,0,274,200,21.41,1200,.57139999,2.5999999,1,0,0,0,0,0,0,0,1,0,7,4,0,0,0,17,12,9,2012
1,10,6,19.450001,14,15,0,207,157,21.43,1400,3.5,2.5,6,2,0,1,0,0,1,0,0,0,4,12,0,1,2,7,16,2,2012
2,12,6,19.450001,14,15,0,28,25,21.43,500,.90899998,2.4000001,0,4,0,0,0,0,0,0,1,0,5,3,0,1,2,7,15,3,2012
4,8,6,19.450001,14,16,0,246,174,21.57,1250,.727,2.3,2,3,1,1,0,0,1,0,0,0,9,7,0,1,0,7,10,8,2012
6,5,6,19.049999,14,15,0,32,30,21.389999,800,2.4000001,2.2,1,0,1,1,0,0,1,0,0,1,2,8,1,0,0,7,18,0,2012
7,11,6,20,14,15,0,134,92,21.440001,450,6,2.75,4,2,0,0,0,0,0,1,0,0,1,10,0,1,0,11,21,-3,2012
9,3,6,20,14,15,0,252,150,21.43,3000,.53299999,2.75,3,4,0,1,0,0,0,1,0,0,11,6,0,1,2,7,7,11,2012
8,9,5,20,15,15,1,11,35,21.57,1889,3,2.25,1,2,1,2,0,0,1,0,0,1,7,10,0,0,0,24,10,9,2012
3,4,6,19.450001,15,14,0,400,283,21.57,2775,1.625,2.2,5,2,2,2,0,0,0,1,0,0,4,8,0,0,0,34,14,5,2012
5,2,6,19.450001,15,13,0,88,56,21.59,519,.94999999,2.4000001,0,1,1,0,0,0,1,0,0,0,9,5,0,0,0,28,8,11,2012
11,1,6,19.450001,15,13,0,6,20,21.57,1462,.53299999,2.5999999,1,0,0,1,0,0,1,0,0,1,10,6,0,0,0,31,7,12,2012
12,6,6,19.450001,15,13,0,85,59,21.57,158,1.1,2.3,3,1,1,2,0,0,0,0,1,0,2,3,0,0,0,27,19,0,2012
1,9,6,19.450001,16,17,0,12,25,21.559999,2825,3.5,2.3,1,2,1,0,0,0,0,0,1,1,5,10,0,0,2,28,13,6,2012
2,3,6,19.450001,16,17,0,217,156,21.559999,1200,1.8,2.3,1,2,0,0,0,0,0,0,1,0,4,6,0,0,2,4,13,6,2012
4,5,6,19.450001,16,16,0,200,152,22.01,1100,.94999999,2.3,3,0,2,0,0,0,0,1,0,0,8,9,0,0,0,28,9,10,2012
6,10,6,19.450001,16,17,0,170,147,21.559999,950,7.5,3,1,0,0,2,0,0,0,1,0,0,3,12,0,0,0,28,16,3,2012
11,8,6,19.450001,16,17,0,8,20,21.57,1579,.727,2.3,2,1,0,1,0,0,1,0,0,1,11,7,0,0,2,3,4,15,2012
12,4,6,19.450001,17,16,1,246,174,21.57,209,2.3,2.25,3,6,0,0,0,0,0,1,0,0,2,8,0,0,1,14,21,0,2012
8,6,6,20,17,16,1,85,59,21.57,801,.53299999,2.75,1,2,2,0,0,0,0,0,1,0,5,3,0,0,1,15,13,8,2012
10,2,7,15.45,17,15,0,227,135,22.07,1778,.25,4,1,1,0,1,0,0,1,0,0,0,12,4,1,0,0,11,0,21,2012
3,1,1,18,17,13,0,252,150,21.52,2709,.90899998,2.25,1,3,1,0,0,1,1,0,0,0,7,7,0,0,0,16,13,8,2012
9,11,1,15,17,16,0,6,10,21.52,3500,1.1,2.25,2,4,1,0,0,0,0,0,1,1,9,11,0,0,0,35,8,13,2012
4,10,6,19.049999,18,14,0,116,116,22.02,1100,2.5,2.2,4,0,2,1,0,0,0,0,1,0,8,12,1,0,0,14,10,12,2012
2,8,6,19.450001,18,12,0,21,45,21.459999,850,2,2.4000001,2,2,2,1,0,0,0,1,0,0,4,7,0,1,0,14,16,6,2012
6,9,6,19.450001,18,14,0,90,65,21.51,1619,6,3,3,1,1,1,0,0,0,0,1,0,3,9,0,1,0,14,20,2,2012
1,12,1,15,18,15,0,10,20,21.51,799,.80000001,2.3,2,5,0,0,0,0,0,1,0,0,5,2,0,0,1,10,13,9,2012
11,5,1,15,18,15,0,53,42,21.450001,1391,.727,2.5999999,2,0,0,2,0,0,0,1,0,0,11,10,0,0,1,10,4,18,2012
6,4,6,19.450001,19,14,0,200,147,21.43,1139,3.3333001,2.25,5,3,0,1,0,0,0,1,0,0,3,6,0,1,0,7,22,3,2012
9,2,6,19.049999,19,17,0,23,30,21.389999,2100,.36359999,3.2,1,1,1,1,0,0,0,1,0,0,9,4,1,0,1,3,10,15,2012
8,5,6,20,19,16,0,53,42,21.389999,1131,1.5,2.3,1,1,1,1,0,0,1,0,0,0,8,11,0,1,1,14,11,14,2012
12,11,1,15,19,21,0,12,25,21.360001,507,5.5,2.5,5,1,0,1,0,0,0,0,1,0,2,10,0,0,0,16,25,0,2012
10,3,1,19,19,17,0,263,240,21.52,2227,.53299999,2.75,1,2,1,0,1,0,1,0,0,0,12,5,0,0,0,16,0,24,2012
5,12,6,19.450001,20,14,0,60,50,21.32,995,.5,2.5999999,0,5,2,0,0,0,1,0,0,0,11,2,0,0,0,32,4,21,2012
4,9,6,19.450001,20,14,0,246,174,21.4,1100,2.25,2.25,3,0,1,0,0,0,0,1,0,0,7,9,0,0,0,14,13,12,2012
3,8,6,19.450001,20,16,0,252,150,21.299999,2689,1.2,2.25,0,0,0,1,0,0,0,1,0,0,5,5,0,0,0,19,16,9,2012
1,6,6,19.450001,20,16,0,85,59,21.280001,1158,.83329999,2.25,0,4,1,0,0,0,1,0,0,0,6,3,0,0,0,12,14,11,2012
1,2,6,19.450001,21,18,0,25,50,21.16,1148,.75,2.5,0,0,1,2,0,0,1,0,0,0,8,4,0,0,1,7,11,14,2012
6,3,6,19.450001,21,15,0,272,190,21.190001,1007,3,2.25,4,3,0,1,0,0,0,0,1,0,3,5,0,0,0,14,22,3,2012
12,9,6,19.450001,21,18,0,10,20,21.16,1360,6,2.75,4,4,2,0,0,0,0,0,1,0,11,9,0,0,1,12,25,0,2012
10,5,7,19.450001,21,16,1,190,140,21.27,2550,.61540002,2.5999999,1,0,1,0,0,0,0,1,0,0,12,11,0,0,0,9,0,25,2012
2,6,6,19.450001,22,17,0,116,69,21.01,700,.9091,2.4000001,0,1,0,0,0,0,0,1,0,0,4,3,0,0,1,28,21,7,2012
5,1,6,19.450001,22,17,0,53,42,21.040001,886,1,2.25,0,2,0,2,1,0,1,0,0,0,11,8,0,0,0,4,4,24,2012
8,12,6,20,22,17,0,20,30,21.030001,751,.66659999,2.5,0,5,0,0,0,0,0,1,0,0,7,2,0,0,1,21,14,14,2012
9,10,2,20,22,20,0,207,157,20.559999,3500,1.25,2.25,4,1,0,1,0,0,1,0,0,0,10,12,0,0,0,7,7,18,2012
3,11,2,19.450001,22,17,0,252,150,21.02,2159,2.4000001,2.2,3,3,1,1,0,0,0,1,0,0,5,9,0,0,0,17,17,8,2012
4,1,6,19.450001,23,18,0,246,174,20.57,1100,.9091,2.3,1,0,0,2,0,0,0,0,1,0,6,5,0,0,0,21,17,9,2012
5,9,6,20,23,18,1,53,42,20.49,1200,2.3,2.3,1,4,1,0,0,0,1,0,0,0,11,10,0,0,0,7,2,24,2012
11,2,6,19.450001,23,18,0,28,25,20.48,1105,.40000001,3.3333001,4,1,0,0,0,0,1,0,0,0,9,4,0,0,2,15,8,18,2012
12,3,6,19.450001,23,18,0,252,150,20.48,250,2.25,2.3,5,5,1,0,0,0,1,0,0,0,2,5,0,0,2,14,26,0,2012
8,10,6,20,23,18,0,207,157,20.48,1205,3.2,2.3,0,1,0,0,0,1,0,0,1,0,7,12,0,0,2,7,15,11,2012
10,12,2,19.450001,24,18,0,207,157,20.52,2375,.2,5,1,6,0,0,0,0,1,0,0,0,12,3,0,0,0,16,0,27,2012
6,11,2,19.450001,24,19,0,85,59,20.440001,1000,4.5,2.5,1,1,2,2,0,0,0,1,0,0,2,9,0,0,0,17,27,0,2012
3,5,2,19.450001,24,17,0,245,175,20.459999,1392,1.375,2.2,6,2,0,1,0,1,0,0,1,0,5,11,0,0,0,7,21,6,2012
